初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
85,000539,粤电力Ａ,6.53,-6.71,-0.47,161万,1.60万,6.53,6.54,0.00,6.29,10.68亿,57.15, 电力,6.98,6.52,6.96,7.00,6.57,0.66,61.75,3.61万,6.65,99.6万,61.1万,1.63,1.38万,2063,1.46,52.50亿,342.8亿,25.55亿,166.9亿,-5.22,-0.31,24.08,53.64,2026/04/21,6.39,2.19%,-2,10.87,47.74,11.62,48.07,-3.71,194万,13.75亿,—,—,-6.18,-8.67,10.87,11.62,41.91,75.45,-2,342.8亿,166.9亿,3.27万,57.15,57.15,1.46,0.67,0.31,0.110,0.114,2.59,0.57,-9.83,-37.78,-49.00,0.22,11.31,1446亿,77.71,—,-0.57,0.0950,0.2975,2.43万,1690万,742,51.63万,1.32,1.25,—,—,—,—,—,—,—,—,—,—,0,5,—,-1.55亿,-2.92,-2.75亿
86,002952,亚世光电,27.60,-2.20,-0.62,7.92万,1756,27.59,27.60,-0.18,6.02,2.18亿,272.23, 光学光电子,28.00,27.09,28.00,28.22,3.22,0.64,-29.05,-190,27.49,4.75万,3.17万,1.50,119,151,5.22,1.643亿,45.36亿,1.316亿,36.33亿,-4.40,0.80,21.23,53.31,2026/04/21,27.29,1.14%,-1,20.10,40.53,16.75,58.17,0.82,9.41万,2.61亿,—,—,-1.43,3.64,20.10,16.75,45.62,90.74,-1,45.36亿,36.33亿,5269,272.23,366.62,5.22,5.23,0.18,0.077,0.075,1.44,0.88,27.43,-26.16,-45.77,-0.19,10.56,2.57亿,22.46,—,-0.78,0.0384,0.0948,506,142万,5,1.40万,0.57,0.54,—,—,—,—,—,—,—,—,—,—,0,5,—,-726万,-0.49,-3835万
87,002565,顺灏股份,19.02,2.70,0.50,161万,2.24万,19.02,19.03,0.00,15.19,30.33亿,224.61, 包装印刷,19.19,18.18,18.32,18.52,5.45,0.74,36.87,9120,18.83,79.6万,81.5万,0.98,1.13万,763,10.81,10.60亿,201.6亿,10.60亿,201.6亿,2.42,-13.35,45.25,118.58,2026/04/21,22.32,-14.78%,1,11.82,3.76,13.89,531.89,-1.75,141万,26.36亿,—,—,3.82,-3.74,11.82,13.89,93.40,216.08,1,201.6亿,201.6亿,2.41万,224.61,355.62,10.81,15.68,0.20,0.064,0.053,3.58,2.93,-20.57,20.29,-61.12,0.24,26.95,5.89亿,22.33,—,-1.08,0.1396,0.1834,1.48万,2711万,350,64.12万,0.91,1.05,—,—,—,—,—,—,—,—,—,—,0,7,—,4058万,0.26,-2.88亿
88,600678,ST金顶,10.38,-5.03,-0.55,2108,54,—,10.38,0.00,0.06,219万,84.75, 水泥,10.38,10.38,10.38,10.93,0.00,—,-100.00,-83.5万,10.38,0,2108,0.00,0,82.6万,12.85,3.490亿,36.23亿,3.490亿,36.23亿,-7.16,-15.06,8.03,52.29,2026/04/21,11.87,-12.55%,-3,-1.14,-24.18,-1.89,53.10,0.00,—,—,—,—,0.00,-11.96,-1.14,-1.89,37.90,93.10,-3,36.23亿,36.23亿,5113,84.75,190.31,12.85,6.64,—,0.092,0.055,13.48,2.33,84.41,620.08,471.66,0.17,26.28,11.7亿,77.84,—,-5.03,0.0081,0.0101,281,29.17万,40.7万,4.23亿,—,—,—,8.57亿,—,8.57亿,82.6万,—,—,39167.05,—,23.66,0,2,—,-89.4万,-0.03,-1384万
89,002752,昇兴股份,7.40,0.27,0.02,40.3万,3863,7.39,7.40,0.00,4.13,3.01亿,23.54, 包装印刷,7.64,7.33,7.36,7.38,4.20,0.55,2.51,337,7.47,19.8万,20.5万,0.97,2498,356,2.04,9.769亿,72.29亿,9.755亿,72.19亿,-2.50,2.64,14.92,41.95,2026/04/21,6.90,7.25%,1,20.13,11.45,18.21,40.15,0.00,46.6万,3.46亿,—,—,0.54,2.07,20.13,18.21,33.47,60.25,1,72.29亿,72.19亿,2.39万,23.54,23.54,2.04,1.01,1.35,0.310,0.314,8.82,3.88,0.61,-27.44,-31.49,0.15,11.03,42.0亿,54.07,—,-0.27,0.0556,0.1540,5422,399万,691,50.86万,2.57,1.16,—,—,—,—,—,—,—,—,—,—,0,1,—,-201万,-0.08,-9258万
90,301022,海泰科,29.41,0.79,0.23,2.50万,960,29.41,29.42,0.17,3.72,7349万,37.38, 汽车零部件,29.59,29.12,29.55,29.18,1.61,0.41,17.49,212,29.37,1.18万,1.32万,0.90,21,2,2.07,9948万,29.26亿,6719万,19.76亿,-4.79,-18.08,15.33,49.68,2026/04/21,33.40,-11.95%,1,3.96,-11.12,2.30,23.88,-0.88,3.24万,9514万,—,—,-0.47,-15.42,3.96,2.30,35.38,75.95,1,29.26亿,19.76亿,4768,37.38,66.89,2.07,3.72,0.87,0.687,0.440,5.84,2.84,21.34,91.11,95.69,0.07,17.80,7.96亿,35.97,—,1.27,0.0697,0.0806,468,138万,153,45.21万,1.21,1.44,—,—,—,—,—,—,—,—,—,—,0,1,—,-769万,-0.45,-2473万
91,300533,冰川网络,26.61,-4.00,-1.11,10.3万,1959,26.61,26.62,0.00,6.22,2.76亿,13.02, 游戏Ⅱ,27.48,26.60,27.45,27.72,3.17,0.68,14.74,147,26.92,5.33万,4.94万,1.08,33,36,4.09,2.345亿,62.39亿,1.650亿,43.90亿,-9.49,-11.15,19.79,51.92,2026/04/21,30.58,-12.98%,-5,-3.13,-23.38,-8.27,24.46,-4.35,11.9万,3.32亿,—,—,-3.06,-13.55,-3.13,-8.27,37.28,89.25,-5,62.39亿,43.90亿,4556,13.02,13.02,4.09,2.33,—,2.040,2.043,32.62,19.52,-8.40,293.77,196.27,0.55,93.03,11.1亿,38.31,—,-0.97,0.0511,0.0661,843,231万,155,42.55万,0.33,0.71,—,—,—,—,—,—,—,—,—,—,0,1,—,-3361万,-0.99,-5707万
92,002935,天奥电子,22.78,1.02,0.23,19.0万,2622,22.78,22.79,0.13,4.57,4.30亿,149.06, 军工电子Ⅱ,23.00,22.20,22.33,22.55,3.55,1.02,-21.00,-353,22.68,9.08万,9.88万,0.92,117,147,5.96,4.241亿,96.61亿,4.151亿,94.56亿,6.15,5.12,14.29,27.03,2026/04/21,20.81,9.47%,4,23.07,1.92,24.01,73.10,3.73,23.0万,5.08亿,—,—,2.02,5.86,23.07,24.01,21.79,45.86,4,96.61亿,94.56亿,2.01万,149.06,149.06,5.96,10.46,0.22,0.153,0.153,4.03,0.53,1.65,0.96,-37.54,-0.07,22.64,12.8亿,44.76,—,-0.98,0.0180,0.0315,746,167万,186,41.53万,0.84,0.32,—,—,—,—,—,—,—,—,—,—,0,2,—,4332万,0.80,1.49亿
93,603130,云中马,45.66,-1.57,-0.73,1.84万,222,45.66,45.67,-0.02,1.34,8401万,60.04, 纺织制造,46.98,45.18,46.42,46.39,3.88,0.59,10.92,13,45.73,9766,8602,1.14,3,3,4.52,1.375亿,62.79亿,1.375亿,62.79亿,-3.10,-4.10,4.26,12.58,2026/04/21,44.25,3.19%,-1,19.12,-19.07,19.00,108.30,0.17,1.47万,6814万,—,—,-1.64,-5.33,19.12,19.00,9.55,30.60,-1,62.79亿,62.79亿,1.58万,60.04,60.04,4.52,2.35,0.50,0.760,0.760,7.61,3.62,2.16,4.21,-6.89,0.33,8.23,13.3亿,48.30,—,0.06,0.0021,0.0081,29,13.46万,6,2.79万,0.97,0.20,—,—,—,—,—,—,—,—,—,—,0,3,—,-923万,-0.56,-2032万
94,000880,潍柴重机,30.90,8.16,2.33,42.0万,2849,30.90,30.91,-0.03,18.50,12.96亿,59.71, 汽车零部件,31.35,30.05,30.49,28.57,4.55,2.03,9.19,275,30.87,19.7万,22.3万,0.88,958,327,6.82,4.638亿,143.3亿,2.270亿,70.15亿,2.45,-3.74,34.75,64.15,2026/04/21,31.14,-0.77%,1,16.78,13.10,13.64,34.46,-1.21,17.1万,4.87亿,—,—,1.34,-2.06,16.78,13.64,50.41,127.31,1,143.3亿,70.15亿,4267,59.71,59.71,6.82,2.34,0.58,0.520,0.518,9.94,3.06,46.51,65.75,45.66,0.12,10.14,62.5亿,74.83,—,6.72,0.2952,0.2952,6701,2043万,17,5.18万,22.04,3.93,—,—,—,—,—,—,—,—,—,—,0,3,—,809万,0.12,-6549万
95,003006,百亚股份,18.51,-1.59,-0.30,4.88万,609,18.50,18.51,0.05,1.14,9030万,24.39, 个护用品,18.80,18.36,18.68,18.81,2.34,0.63,43.89,388,18.52,2.68万,2.19万,1.22,49,27,5.42,4.296亿,79.53亿,4.286亿,79.33亿,-0.05,-2.22,4.98,10.19,2026/04/21,18.33,0.98%,-1,6.56,-15.25,4.87,-29.81,3.47,9.72万,1.82亿,—,—,-0.91,-3.69,6.56,4.87,7.83,20.97,-1,79.53亿,79.33亿,4.14万,24.39,27.08,5.42,2.24,2.97,0.570,0.684,16.91,11.52,12.80,2.53,5.15,0.28,54.00,6.27亿,29.91,—,-0.69,0.0087,0.0230,374,69.86万,21,3.92万,2.02,0.38,—,—,—,—,—,—,—,—,—,—,0,1,—,-548万,-0.18,2591万
96,002300,太阳电缆,9.37,-3.30,-0.32,37.7万,5200,9.36,9.37,0.00,5.23,3.56亿,81.40, 电网设备,9.72,9.35,9.66,9.69,3.82,0.66,29.55,3309,9.43,24.7万,13.0万,1.90,2019,759,3.57,7.223亿,67.68亿,7.223亿,67.68亿,-9.03,-8.32,16.26,44.86,2026/04/21,10.42,-10.08%,-5,-2.29,1.85,-0.43,66.73,-0.82,30.9万,3.00亿,—,—,-3.00,-11.52,-2.29,-0.43,30.95,80.41,-5,67.68亿,67.68亿,7391,81.40,81.40,3.57,0.56,0.75,0.115,0.115,4.39,0.96,-12.31,-8.54,-18.97,0.12,3.96,41.1亿,64.22,—,-0.31,0.0114,0.0220,824,79.60万,35,3.38万,0.38,0.27,—,—,—,—,—,—,—,—,—,—,0,3,—,-4499万,-1.28,-9444万
97,603318,水发燃气,14.26,-1.99,-0.29,109万,2.29万,14.26,14.27,-0.28,23.71,15.62亿,-130.47, 燃气Ⅱ,15.10,13.82,14.68,14.55,8.80,1.30,-17.00,-849,14.35,56.8万,52.1万,1.09,743,500,4.14,5.547亿,79.10亿,4.591亿,65.46亿,13.81,51.54,87.71,114.62,2026/04/21,8.47,68.36%,-1,81.19,112.84,83.29,129.26,5.59,153万,21.21亿,—,—,-2.86,37.78,81.19,83.29,111.75,167.53,-1,79.10亿,65.46亿,1.64万,-130.47,-1176.56,4.14,3.14,0.39,-0.100,-0.012,-3.19,-0.11,-3.67,-171.15,-98.78,0.04,14.28,25.6亿,58.26,—,0.89,0.6751,1.1403,3.10万,4549万,2876,422万,0.58,2.03,—,—,—,—,—,—,—,—,—,—,0,10,9天6板,1128万,0.29,-3.33亿
98,002324,普利特,14.63,-2.40,-0.36,32.8万,4412,14.63,14.64,-0.14,4.23,4.83亿,37.55, 塑料,15.25,14.46,14.93,14.99,5.27,0.70,-4.70,-212,14.72,20.2万,12.7万,1.59,446,215,3.56,11.12亿,162.7亿,7.763亿,113.6亿,-1.01,-16.06,16.85,34.54,2026/04/21,17.31,-15.48%,-1,-2.47,-8.51,-4.69,47.18,0.07,36.6万,5.42亿,—,—,-2.01,-13.07,-2.47,-4.69,28.39,64.65,-1,162.7亿,113.6亿,2.68万,37.55,63.31,3.56,1.74,0.34,0.296,0.231,7.29,2.56,18.29,55.42,68.28,0.10,14.61,82.1亿,62.68,—,-0.40,0.0144,0.0182,1120,167万,82,12.24万,0.21,0.31,—,—,—,—,—,—,—,—,—,—,0,5,—,-6690万,-0.74,-2473万
99,600118,中国卫星,102.80,4.97,4.87,72.5万,9709,102.80,102.81,-0.01,6.13,73.28亿,3418.76, 航天装备Ⅱ,103.80,97.01,97.01,97.93,6.93,1.02,58.62,2984,101.08,30.8万,41.7万,0.74,2182,379,19.10,11.82亿,1216亿,11.82亿,1216亿,3.32,5.35,14.44,36.23,2026/04/21,94.52,8.76%,2,25.58,8.27,28.60,294.02,0.97,44.5万,43.37亿,—,—,5.97,0.78,25.58,28.60,27.53,64.26,2,1216亿,1216亿,3766,3418.76,3418.76,19.10,19.92,0.01,0.030,0.030,0.56,0.18,18.35,27.38,58.46,0.08,8.84,51.2亿,38.78,—,-0.94,0.0279,0.0576,3303,3205万,514,498万,0.75,0.74,—,—,—,—,—,—,—,—,—,—,0,3,—,7.15亿,1.21,3.48亿
100,002217,合力泰,2.89,-5.86,-0.18,730万,12.1万,2.89,2.90,-0.34,10.03,21.37亿,951.25, 光学光电子,3.05,2.88,3.02,3.07,5.54,0.81,54.28,25.9万,2.93,454万,276万,1.65,7.01万,1.40万,11.55,74.79亿,216.2亿,72.79亿,210.4亿,-2.36,-1.37,46.22,71.87,2026/04/19,2.68,7.84%,-1,22.46,-5.25,23.50,31.36,3.02,1081万,32.50亿,—,—,-4.30,4.33,22.46,23.50,61.78,112.91,-1,216.2亿,210.4亿,2.90万,951.25,951.25,11.55,12.83,—,0.003,0.003,1.22,1.16,27.02,-98.50,101.96,-0.11,17.45,6.17亿,24.41,—,-1.63,0.1485,0.2091,10.8万,3265万,1480,44.70万,0.26,1.00,—,—,—,—,—,—,—,—,—,—,0,4,—,-2.77亿,-1.85,-9.16亿
101,002418,康盛股份,5.64,-3.75,-0.22,134万,2.94万,5.64,5.65,0.18,11.83,7.62亿,347.50, 家电零部件Ⅱ,5.89,5.57,5.87,5.86,5.46,0.57,43.19,2.04万,5.67,80.0万,54.4万,1.47,2040,5918,4.45,11.36亿,64.09亿,11.36亿,64.09亿,-5.84,-16.32,43.26,116.32,2026/04/19,6.19,-8.89%,-1,18.49,18.24,17.50,103.61,2.99,206万,12.30亿,—,—,-3.92,-13.36,18.49,17.50,82.25,209.36,-1,64.09亿,64.09亿,1.53万,347.50,-85.90,4.45,2.27,—,0.012,-0.066,0.97,0.26,12.43,240.21,179.75,-0.12,9.23,16.2亿,50.05,—,0.17,0.2670,0.3451,3.03万,1781万,3177,186万,1.49,1.47,—,—,—,—,—,—,—,—,—,—,0,6,—,-8593万,-1.73,-1.34亿
102,600962,国投中鲁,21.75,0.97,0.21,5.52万,709,21.74,21.75,0.14,2.10,1.19亿,139.37, 农产品加工,21.97,20.89,21.30,21.54,5.01,1.17,64.39,774,21.58,2.64万,2.88万,0.92,76,8,6.01,2.622亿,57.03亿,2.622亿,57.03亿,4.57,0.88,6.19,11.13,2026/04/19,20.71,5.02%,3,15.20,-0.82,14.11,69.92,1.99,5.30万,1.14亿,—,—,2.11,0.51,15.20,14.11,9.24,24.77,3,57.03亿,57.03亿,1.68万,139.37,139.37,6.01,2.87,—,0.156,0.156,4.43,2.16,-0.15,39.88,16.65,0.15,16.74,16.5亿,61.35,—,-1.11,0.0356,0.0643,934,199万,34,7.24万,3.27,1.76,—,—,—,—,—,—,—,—,—,—,0,2,—,-60.3万,-0.02,2125万
103,600727,鲁北化工,8.07,-0.12,-0.01,28.1万,1273,8.06,8.07,0.00,5.31,2.28亿,111.46, 化学原料,8.25,8.03,8.08,8.08,2.72,1.10,-33.73,-3500,8.12,15.1万,13.0万,1.17,1342,1045,1.33,5.286亿,42.66亿,5.286亿,42.66亿,1.25,2.02,13.84,29.48,2026/04/19,7.69,4.94%,-1,5.49,17.98,8.03,0.62,2.15,25.3万,2.03亿,—,—,-0.12,1.38,5.49,8.03,23.58,67.65,-1,42.66亿,42.66亿,1.08万,111.46,111.46,1.33,0.84,0.62,0.070,0.072,1.20,1.22,-11.43,-85.34,-90.13,0.02,8.74,53.4亿,59.96,—,0.00,0.0360,0.0548,1905,154万,71,5.74万,0.99,0.75,—,—,—,—,—,—,—,—,—,—,0,2,—,-1.16万,0.00,-302万
104,605298,必得科技,58.67,-0.90,-0.53,2.05万,665,58.66,58.67,-0.34,1.10,1.20亿,194.10, 轨交设备Ⅱ,60.06,57.13,60.06,59.20,4.95,0.51,73.49,61,58.69,9579,1.09万,0.88,2,4,10.38,1.879亿,110.2亿,1.863亿,109.3亿,-7.27,-2.10,4.16,11.93,2026/04/19,54.75,7.16%,-3,25.96,46.79,26.61,369.74,-1.58,2.41万,1.44亿,—,—,-2.31,-2.78,25.96,26.61,9.13,22.11,-3,110.2亿,109.3亿,2.17万,194.10,194.10,10.38,19.63,0.34,0.310,0.302,5.50,4.44,16.24,46.13,47.78,0.61,43.42,2.61亿,19.64,—,1.45,0.0075,0.0269,140,84.08万,0,—,1.30,0.58,—,—,—,—,—,—,—,—,—,—,0,4,—,-320万,-0.10,-2503万
105,603922,ST金鸿顺,19.91,-5.01,-1.05,2552,8,—,19.91,0.00,0.14,508万,170.35, 汽车零部件,19.91,19.91,19.91,20.96,0.00,0.02,-100.00,-14.8万,19.91,0,2552,0.00,0,14.7万,3.43,1.792亿,35.68亿,1.792亿,35.68亿,-9.34,-10.92,5.27,24.80,2026/04/19,21.51,-7.44%,-4,-5.24,-4.09,-5.05,-10.27,0.00,—,—,—,—,0.00,-15.99,-5.24,-5.05,16.54,49.40,-4,35.68亿,35.68亿,1.58万,170.35,180.73,3.43,5.11,—,0.090,0.110,1.53,1.12,-26.34,200.89,178.34,-0.19,15.71,3.06亿,22.74,—,-5.01,0.0279,0.0507,500,99.55万,8.93万,1.78亿,—,—,—,2.92亿,—,2.92亿,14.7万,—,—,5756.11,—,8.20,0,2,—,-200万,-0.10,-3602万
106,002081,金 螳 螂,5.90,10.07,0.54,576万,5910,5.90,—,0.00,21.77,32.20亿,30.79, 装修装饰Ⅱ,5.90,5.07,5.17,5.36,15.49,1.45,100.00,15.9万,5.59,250万,325万,0.77,14.7万,0,1.14,26.55亿,156.7亿,26.45亿,156.0亿,33.18,19.43,51.47,96.61,2026/04/19,3.71,59.03%,3,75.60,72.51,73.53,85.53,10.06,314万,16.27亿,—,—,14.12,8.66,75.60,73.53,84.10,113.53,3,156.7亿,156.0亿,4.10万,30.79,34.25,1.14,0.92,1.69,0.144,0.172,2.78,1.14,-9.20,-18.47,-14.29,-0.03,12.64,197亿,58.24,—,-3.54,0.4798,0.9481,12.7万,6561万,492,25.44万,0.99,4.04,10:24:15,8681万,13:34:42,8681万,14.7万,1.50亿,28.0万,2.56,8.92,0.56,1,8,10天8板,-1.12亿,-1.42,3.79亿
107,600208,衢州发展,4.55,9.90,0.41,199万,3516,4.55,—,0.00,2.33,8.90亿,53.66, 房地产开发,4.55,4.21,4.21,4.14,8.21,0.60,100.00,19.9万,4.48,99.9万,98.7万,1.01,14.5万,0,0.93,85.09亿,387.2亿,85.08亿,387.1亿,6.81,9.64,8.48,21.68,2026/04/19,3.58,27.09%,2,44.44,17.57,42.63,64.26,0.73,225万,9.40亿,—,—,8.08,5.81,44.44,42.63,17.71,35.02,2,387.2亿,387.1亿,7.66万,53.66,-90.86,0.93,11.34,—,0.064,-0.050,1.30,0.43,-92.56,-72.71,-65.10,0.00,21.61,550亿,56.66,—,1.69,0.0253,0.0527,2.15万,905万,2198,92.54万,1.39,0.96,09:42:50,6618万,09:47:44,6618万,14.5万,—,—,7.32,—,0.17,6,3,今日首板,2.32亿,1.25,8081万
108,001268,联合精密,38.41,9.99,3.49,4.77万,10,38.41,—,0.00,7.58,1.77亿,52.22, 家电零部件Ⅱ,38.41,34.92,34.92,34.92,9.99,1.19,100.00,2.70万,37.07,2.64万,2.13万,1.24,2.65万,0,4.04,1.079亿,41.46亿,6293万,24.17亿,9.15,2.32,15.19,39.49,2026/04/16,31.34,22.56%,2,33.37,8.11,29.54,100.26,0.78,2.45万,8573万,—,—,9.99,1.86,33.37,29.54,29.64,88.89,2,41.46亿,24.17亿,7056,52.22,51.32,4.04,5.13,1.16,0.550,0.748,5.85,4.04,10.37,18.57,19.14,0.22,22.29,5.07亿,33.07,—,0.00,0.0094,0.0127,59,20.60万,15,5.24万,0.51,0.24,13:50:00,1.02亿,13:50:00,1.02亿,2.65万,—,—,55.44,—,4.20,0,3,今日首板,2506万,1.41,2802万
109,600961,株冶集团,26.49,-4.40,-1.22,62.6万,8961,26.49,26.50,-0.19,8.33,16.89亿,6.21, 工业金属,27.92,26.42,27.47,27.71,5.41,0.63,24.51,1081,26.98,34.9万,27.7万,1.26,1605,427,5.62,10.73亿,284.2亿,7.518亿,199.2亿,-8.84,-9.22,26.92,74.59,2026/04/16,20.08,31.92%,-1,52.33,64.53,49.32,156.94,1.17,66.1万,18.30亿,—,—,-3.57,-9.16,52.33,49.32,55.25,103.78,-1,284.2亿,199.2亿,1.35万,6.21,14.27,5.62,1.16,—,1.060,1.857,25.30,11.70,45.90,313.00,323.42,0.42,24.09,41.1亿,40.71,—,-0.87,0.1279,0.2057,9614,2641万,1480,407万,0.80,1.46,—,—,—,—,—,—,—,—,—,—,0,5,—,-2.12亿,-1.71,-3.44亿
110,002468,申通快递,16.35,-1.33,-0.22,27.7万,1926,16.34,16.35,-0.12,1.88,4.52亿,18.28, 物流,16.63,16.17,16.58,16.57,2.78,1.05,65.35,1094,16.35,14.0万,13.7万,1.02,490,52,2.29,15.31亿,250.3亿,14.67亿,239.9亿,-6.73,-6.57,6.01,10.90,2026/04/16,18.03,-9.32%,-1,10.32,21.83,7.92,47.43,0.12,23.4万,3.89亿,—,—,-1.39,-7.78,10.32,7.92,8.86,23.71,-1,250.3亿,239.9亿,3.61万,18.28,18.28,2.29,0.48,0.40,0.920,0.894,13.32,2.84,17.84,31.64,18.71,0.15,5.68,176亿,63.10,—,0.06,0.0051,0.0130,745,124万,7,1.16万,0.51,0.32,—,—,—,—,—,—,—,—,—,—,0,2,—,4548万,0.48,-1177万
111,603878,武进不锈,7.95,-1.73,-0.14,13.2万,1194,7.94,7.95,0.25,2.36,1.06亿,57.15, 普钢,8.23,7.93,8.09,8.09,3.71,0.88,11.34,589,8.03,8.35万,4.89万,1.71,789,208,1.70,5.611亿,44.61亿,5.611亿,44.61亿,-0.87,-7.34,6.15,15.82,2026/04/16,8.27,-3.87%,-1,6.85,-14.15,4.61,55.27,1.13,10.4万,8370万,—,—,-1.73,-1.00,6.85,4.61,11.19,30.38,-1,44.61亿,44.61亿,2.31万,57.15,57.15,1.70,1.96,1.12,0.140,0.139,2.99,2.11,-12.92,-37.91,-49.89,0.22,13.40,15.5亿,37.06,—,0.00,0.0066,0.0109,370,29.93万,119,9.63万,1.35,0.36,—,—,—,—,—,—,—,—,—,—,0,3,—,-909万,-0.34,-160万
112,002757,南兴股份,23.16,1.71,0.39,32.6万,3990,23.16,23.17,0.00,11.56,7.62亿,55.89, 专用设备,24.25,22.89,22.94,22.77,5.97,1.14,-9.04,-372,23.36,15.8万,16.8万,0.95,905,327,3.43,2.955亿,68.43亿,2.821亿,65.32亿,-1.28,3.39,31.75,62.21,2026/04/16,22.79,1.62%,2,15.92,18.95,12.54,34.73,1.38,27.9万,6.35亿,—,—,0.96,3.49,15.92,12.54,54.28,95.51,2,68.43亿,65.32亿,5725,55.89,-23.55,3.43,2.15,1.51,0.311,-0.983,4.55,2.67,-5.80,-55.69,-58.11,0.42,15.92,15.4亿,43.13,—,0.75,0.0761,0.1171,2146,492万,42,9.63万,1.52,0.77,—,—,—,—,—,—,—,—,—,—,0,5,—,-76.9万,-0.02,-3945万
113,600549,厦门钨业,57.78,-2.84,-1.69,69.2万,6875,57.78,57.79,-0.02,4.46,40.40亿,39.69, 小金属,60.07,57.40,58.50,59.47,4.49,0.87,40.25,1408,58.36,37.5万,31.7万,1.18,342,576,5.33,15.88亿,917.3亿,15.54亿,897.9亿,1.74,-12.85,14.42,30.10,2026/04/16,61.88,-6.63%,-1,3.88,40.72,3.18,224.79,8.19,87.3万,50.38亿,—,—,-1.23,-7.77,3.88,3.18,25.27,50.35,-1,917.3亿,897.9亿,1.29万,39.69,39.69,5.33,2.25,0.73,1.456,1.456,14.00,5.38,32.03,33.74,39.63,0.12,18.02,248亿,49.23,—,-1.63,0.0432,0.0686,6712,3927万,555,325万,2.89,0.77,—,—,—,—,—,—,—,—,—,—,0,3,—,-4.24亿,-0.75,-8.27亿
114,605060,联德股份,58.54,-1.70,-1.01,8.74万,478,58.53,58.54,0.02,3.66,5.17亿,61.86, 通用设备,60.75,58.10,58.96,59.55,4.45,0.86,33.74,220,59.22,4.66万,4.07万,1.15,144,37,5.71,2.406亿,140.8亿,2.389亿,139.9亿,1.79,-7.81,12.32,24.83,2026/04/16,58.95,-0.70%,-1,17.43,58.39,12.15,258.04,2.06,8.88万,5.17亿,—,—,-0.71,-5.75,17.43,12.15,19.34,44.96,-1,140.8亿,139.9亿,1.07万,61.86,61.86,5.71,11.23,0.60,0.950,0.946,9.53,7.84,14.19,21.46,20.29,0.70,36.35,5.13亿,17.17,—,-0.99,0.0092,0.0239,220,130万,50,29.48万,0.43,0.25,—,—,—,—,—,—,—,—,—,—,0,5,—,-3368万,-0.63,-1777万
115,605287,德才股份,55.32,-0.56,-0.31,9.37万,1555,55.31,55.32,-0.31,6.69,5.17亿,118.38, 装修装饰Ⅱ,57.29,53.75,55.43,55.63,6.36,0.85,-13.16,-17,55.20,5.33万,4.04万,1.32,3,31,4.99,1.400亿,77.45亿,1.400亿,77.45亿,12.26,17.03,30.17,46.15,2026/04/16,46.98,17.75%,-1,34.99,113.43,22.72,342.56,2.62,17.3万,9.61亿,—,—,-0.20,20.52,34.99,22.72,41.87,69.26,-1,77.45亿,77.45亿,1.63万,118.38,-24.50,4.99,2.48,—,0.358,-2.258,3.18,0.44,-34.02,-37.43,-55.64,0.02,10.07,92.5亿,84.71,—,-0.36,0.0844,0.1564,1182,655万,58,32.15万,0.21,0.68,—,—,—,—,—,—,—,—,—,—,0,14,4天2板,-1381万,-0.33,524万
116,600768,宁波富邦,18.88,3.23,0.59,13.5万,1451,18.88,18.89,-0.42,10.10,2.54亿,43.10, 工业金属,19.25,18.11,18.29,18.29,6.23,1.26,36.29,180,18.81,6.41万,7.10万,0.90,144,2,5.88,1.337亿,25.25亿,1.337亿,25.25亿,8.51,10.22,30.21,50.21,2026/04/16,17.52,7.76%,5,8.38,34.86,8.07,112.85,4.16,12.2万,2.20亿,—,—,3.23,13.73,8.38,8.07,43.83,89.35,5,25.25亿,25.25亿,8743,43.10,43.10,5.88,2.18,0.26,0.440,0.438,14.51,7.64,10.85,3649.06,158.67,-0.22,9.52,5.86亿,53.18,—,0.00,0.0619,0.0987,828,151万,146,26.70万,0.77,0.68,—,—,—,—,—,—,—,—,—,—,0,1,—,599万,0.38,1500万
