日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-06-17,09:25:00,股票,东吴证券(601555.XSHG),卖,市价单,-4700股,8.57,-40279,-4700股,-,1739,52.36,全部成交,2025-06-17 09:30:00
2025-06-17,09:25:00,股票,金风科技(002202.XSHE),卖,市价单,-4100股,9.99,-40959,-4100股,-,1435,53.25,全部成交,2025-06-17 09:30:00
2025-06-17,09:25:00,股票,东山精密(002384.XSHE),卖,市价单,-1100股,34.97,-38467,-1100股,-,4202,50.01,全部成交,2025-06-17 09:30:00
2025-06-24,09:25:00,股票,当升科技(300073.XSHE),买,市价单,900股,41.9,37710,900股,-,0,11.31,全部成交,2025-06-24 09:30:00
2025-06-25,09:25:00,股票,指南针(300803.XSHE),买,市价单,500股,65.62,32810,500股,-,0,9.84,全部成交,2025-06-25 09:30:00
2025-06-25,09:25:00,股票,湘财股份(600095.XSHG),买,市价单,4300股,9.4,40420,4300股,-,0,12.13,全部成交,2025-06-25 09:30:00
2025-06-26,09:25:00,股票,指南针(300803.XSHE),卖,市价单,-500股,80.62,-40310,-500股,-,7500,52.4,全部成交,2025-06-26 09:30:00
2025-06-27,09:25:00,股票,华天科技(002185.XSHE),买,市价单,4700股,9.2,43240,4700股,-,0,12.97,全部成交,2025-06-27 09:30:00
2025-06-30,09:25:00,股票,华天科技(002185.XSHE),卖,市价单,-4700股,10.26,-48222,-4700股,-,4982,62.69,全部成交,2025-06-30 09:30:00
2025-07-01,09:25:00,股票,中材科技(002080.XSHE),买,市价单,2200股,19.44,42768,2200股,-,0,12.83,全部成交,2025-07-01 09:30:00
2025-07-09,09:25:00,股票,中材科技(002080.XSHE),卖,市价单,-2200股,24.4,-53680,-2200股,-,10912,69.78,全部成交,2025-07-09 09:30:00
2025-07-10,09:25:00,股票,湘财股份(600095.XSHG),卖,市价单,-4300股,11.77,-50611,-4300股,-,10191,65.79,全部成交,2025-07-10 09:30:00
2025-07-10,09:25:00,股票,韵达股份(002120.XSHE),买,市价单,7400股,6.84,50616,7400股,-,0,15.18,全部成交,2025-07-10 09:30:00
2025-07-11,09:25:00,股票,韵达股份(002120.XSHE),卖,市价单,-7400股,7.18,-53132,-7400股,-,2516,69.07,全部成交,2025-07-11 09:30:00
2025-07-11,09:25:00,股票,中国稀土(000831.XSHE),买,市价单,1300股,38,49400,1300股,-,0,14.82,全部成交,2025-07-11 09:30:00
2025-07-14,09:25:00,股票,当升科技(300073.XSHE),卖,市价单,-900股,42.54,-38286,-900股,-,576,49.77,全部成交,2025-07-14 09:30:00
2025-07-14,09:25:00,股票,中粮糖业(600737.XSHG),买,市价单,5600股,9.36,52416,5600股,-,0,15.72,全部成交,2025-07-14 09:30:00
2025-07-15,09:25:00,股票,科沃斯(603486.XSHG),买,市价单,700股,65.2,45640,700股,-,0,13.69,全部成交,2025-07-15 09:30:00
2025-07-28,09:25:00,股票,中国稀土(000831.XSHE),卖,市价单,-1300股,45,-58500,-1300股,-,9100,76.05,全部成交,2025-07-28 09:30:00
2025-07-29,09:25:00,股票,兴齐眼药(300573.XSHE),买,市价单,800股,61.86,49488,800股,-,0,14.85,全部成交,2025-07-29 09:30:00
2025-07-30,09:25:00,股票,科沃斯(603486.XSHG),卖,市价单,-700股,76.5,-53550,-700股,-,7910,69.62,全部成交,2025-07-30 09:30:00
2025-08-01,09:25:00,股票,捷佳伟创(300724.XSHE),买,市价单,900股,61.02,54918,900股,-,0,16.48,全部成交,2025-08-01 09:30:00
2025-08-04,09:25:00,股票,中粮糖业(600737.XSHG),卖,市价单,-5600股,9.35,-52360,-5600股,-,-56,68.07,全部成交,2025-08-04 09:30:00
2025-08-05,09:25:00,股票,捷佳伟创(300724.XSHE),卖,市价单,-900股,69.67,-62703,-900股,-,7785,81.51,全部成交,2025-08-05 09:30:00
2025-08-06,09:25:00,股票,中船防务(600685.XSHG),买,市价单,2000股,28.4,56800,2000股,-,0,17.04,全部成交,2025-08-06 09:30:00
2025-08-06,09:25:00,股票,马钢股份(600808.XSHG),买,市价单,15000股,3.8,57000,15000股,-,0,17.1,全部成交,2025-08-06 09:30:00
2025-08-18,09:25:00,股票,兴齐眼药(300573.XSHE),卖,市价单,-800股,62.7,-50160,-800股,-,672,65.21,全部成交,2025-08-18 09:30:00
2025-08-19,09:25:00,股票,四川长虹(600839.XSHG),买,市价单,5300股,10.62,56286,5300股,-,0,16.89,全部成交,2025-08-19 09:30:00
2025-08-21,09:25:00,股票,四川长虹(600839.XSHG),卖,市价单,-5300股,11.9,-63070,-5300股,-,6784,81.99,全部成交,2025-08-21 09:30:00
2025-08-22,09:25:00,股票,东方明珠(600637.XSHG),买,市价单,6800股,8.85,60180,6800股,-,0,18.05,全部成交,2025-08-22 09:30:00
2025-08-26,09:25:00,股票,中船防务(600685.XSHG),卖,市价单,-2000股,29.6,-59200,-2000股,-,2400,76.96,全部成交,2025-08-26 09:30:00
2025-08-26,09:25:00,股票,马钢股份(600808.XSHG),卖,市价单,-15000股,3.78,-56700,-15000股,-,-300,73.71,全部成交,2025-08-26 09:30:00
2025-08-27,09:25:00,股票,中科创达(300496.XSHE),买,市价单,800股,72.22,57776,800股,-,0,17.33,全部成交,2025-08-27 09:30:00
2025-08-27,09:25:00,股票,长川科技(300604.XSHE),买,市价单,1000股,51.14,51140,1000股,-,0,15.34,全部成交,2025-08-27 09:30:00
2025-08-29,09:25:00,股票,长川科技(300604.XSHE),卖,市价单,-1000股,60.79,-60790,-1000股,-,9650,79.03,全部成交,2025-08-29 09:30:00
2025-09-01,09:25:00,股票,先导智能(300450.XSHE),买,市价单,1600股,38.54,61664,1600股,-,0,18.5,全部成交,2025-09-01 09:30:00
2025-09-04,09:25:00,股票,东方明珠(600637.XSHG),卖,市价单,-6800股,8.5,-57800,-6800股,-,-2380,75.14,全部成交,2025-09-04 09:30:00
2025-09-05,09:25:00,股票,锦浪科技(300763.XSHE),买,市价单,700股,73.99,51793,700股,-,0,15.54,全部成交,2025-09-05 09:30:00
2025-09-08,09:25:00,股票,先导智能(300450.XSHE),卖,市价单,-1600股,55,-88000,-1600股,-,26336,114.4,全部成交,2025-09-08 09:30:00
2025-09-08,09:25:00,股票,锦浪科技(300763.XSHE),卖,市价单,-700股,94.98,-66486,-700股,-,14693,86.43,全部成交,2025-09-08 09:30:00
2025-09-09,09:25:00,股票,中国电影(600977.XSHG),买,市价单,4500股,17.22,77490,4500股,-,0,23.25,全部成交,2025-09-09 09:30:00
2025-09-09,09:25:00,股票,顾家家居(603816.XSHG),买,市价单,2500股,30.15,75375,2500股,-,0,22.61,全部成交,2025-09-09 09:30:00
2025-09-16,09:25:00,股票,中科创达(300496.XSHE),卖,市价单,-800股,74.92,-59936,-800股,-,2160,77.92,全部成交,2025-09-16 09:30:00
2025-09-17,09:25:00,股票,建元信托(600816.XSHG),买,市价单,23900股,3.46,82694,23900股,-,0,24.81,全部成交,2025-09-17 09:30:00
2025-09-22,09:25:00,股票,建元信托(600816.XSHG),卖,市价单,-23900股,3.24,-77436,-23900股,-,-5258,100.67,全部成交,2025-09-22 09:30:00
2025-09-23,09:25:00,股票,立昂微(605358.XSHG),买,市价单,2500股,27.7,69250,2500股,-,0,20.78,全部成交,2025-09-23 09:30:00
2025-09-24,09:25:00,股票,中国电影(600977.XSHG),卖,市价单,-4500股,15.3,-68850,-4500股,-,-8640,89.51,全部成交,2025-09-24 09:30:00
2025-09-25,09:25:00,股票,立昂微(605358.XSHG),卖,市价单,-2500股,36.34,-90850,-2500股,-,21600,118.11,全部成交,2025-09-25 09:30:00
2025-09-25,09:25:00,股票,环旭电子(601231.XSHG),买,市价单,3500股,20.11,70385,3500股,-,0,21.12,全部成交,2025-09-25 09:30:00
2025-09-26,09:25:00,股票,明阳智能(601615.XSHG),买,市价单,5400股,14.56,78624,5400股,-,0,23.59,全部成交,2025-09-26 09:30:00
2025-09-29,09:25:00,股票,顾家家居(603816.XSHG),卖,市价单,-2500股,30.36,-75900,-2500股,-,525,98.67,全部成交,2025-09-29 09:30:00
2025-09-30,09:25:00,股票,国盛金控(002670.XSHE),买,市价单,3500股,24.02,84070,3500股,-,0,25.22,全部成交,2025-09-30 09:30:00
2025-10-10,09:25:00,股票,明阳智能(601615.XSHG),卖,市价单,-5400股,16.96,-91584,-5400股,-,12960,119.06,全部成交,2025-10-10 09:30:00
2025-10-10,09:25:00,股票,国盛金控(002670.XSHE),卖,市价单,-3500股,21.52,-75320,-3500股,-,-8750,97.92,全部成交,2025-10-10 09:30:00
2025-10-13,09:25:00,股票,白银有色(601212.XSHG),买,市价单,14900股,5.06,75394,14900股,-,0,22.62,全部成交,2025-10-13 09:30:00
2025-10-13,09:25:00,股票,金力永磁(300748.XSHE),买,市价单,1700股,41.92,71264,1700股,-,0,21.38,全部成交,2025-10-13 09:30:00
2025-10-15,09:25:00,股票,环旭电子(601231.XSHG),卖,市价单,-3500股,19.71,-68985,-3500股,-,-1400,89.68,全部成交,2025-10-15 09:30:00
2025-10-17,09:25:00,股票,白银有色(601212.XSHG),卖,市价单,-14900股,6.02,-89698,-14900股,-,14304,116.61,全部成交,2025-10-17 09:30:00
2025-10-17,09:25:00,股票,金力永磁(300748.XSHE),卖,市价单,-1700股,40.79,-69343,-1700股,-,-1921,90.15,全部成交,2025-10-17 09:30:00
2025-10-20,09:25:00,股票,中信重工(601608.XSHG),买,市价单,13600股,5.8,78880,13600股,-,0,23.66,全部成交,2025-10-20 09:30:00
2025-10-21,09:25:00,股票,中信重工(601608.XSHG),买,市价单,12700股,6.66,84582,12700股,-,0,25.37,全部成交,2025-10-21 09:30:00
2025-10-23,09:25:00,股票,中信重工(601608.XSHG),卖,市价单,-26300股,8.04,-211452,-26300股,-,47990,274.89,全部成交,2025-10-23 09:30:00
2025-10-24,09:25:00,股票,江波龙(301308.XSHE),买,市价单,400股,197,78800,400股,-,0,23.64,全部成交,2025-10-24 09:30:00
2025-10-27,09:25:00,股票,江波龙(301308.XSHE),买,市价单,300股,228.52,68556,300股,-,0,20.57,全部成交,2025-10-27 09:30:00
2025-10-27,09:25:00,股票,皖能电力(000543.XSHE),买,市价单,11900股,8.2,97580,11900股,-,0,29.27,全部成交,2025-10-27 09:30:00
2025-10-29,09:25:00,股票,川能动力(000155.XSHE),买,市价单,7200股,11.16,80352,7200股,-,0,24.11,全部成交,2025-10-29 09:30:00
2025-10-31,09:25:00,股票,江波龙(301308.XSHE),卖,市价单,-700股,275.79,-193053,-700股,-,45697,250.97,全部成交,2025-10-31 09:30:00
2025-10-31,09:25:00,股票,川能动力(000155.XSHE),卖,市价单,-7200股,12.44,-89568,-7200股,-,9216,116.44,全部成交,2025-10-31 09:30:00
2025-11-03,09:25:00,股票,海南橡胶(601118.XSHG),买,市价单,19500股,5.64,109980,19500股,-,0,32.99,全部成交,2025-11-03 09:30:00
2025-11-03,09:25:00,股票,天华新能(300390.XSHE),买,市价单,3400股,31.36,106624,3400股,-,0,31.99,全部成交,2025-11-03 09:30:00
2025-11-04,09:25:00,股票,皖能电力(000543.XSHE),卖,市价单,-11900股,8.28,-98532,-11900股,-,952,128.09,全部成交,2025-11-04 09:30:00
2025-11-04,09:25:00,股票,海南橡胶(601118.XSHG),卖,市价单,-19500股,5.96,-116220,-19500股,-,6240,151.09,全部成交,2025-11-04 09:30:00
2025-11-04,09:25:00,股票,天华新能(300390.XSHE),卖,市价单,-3400股,34.07,-115838,-3400股,-,9214,150.59,全部成交,2025-11-04 09:30:00
