日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-05-07,09:40:20,股票,海象新材(003011.XSHE),买,市价单,500股,17.18,8590,500股,-,0,5,全部成交,2025-05-07 09:40:20
2025-05-07,09:40:20,股票,名雕股份(002830.XSHE),买,市价单,600股,14.41,8646,600股,-,0,5,全部成交,2025-05-07 09:40:20
2025-05-07,09:40:20,股票,百洋股份(002696.XSHE),买,市价单,1700股,5.47,9299,1700股,-,0,5,全部成交,2025-05-07 09:40:20
2025-05-08,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-3800股,7.718,-29328.4,-3800股,-,315.4,5,全部成交,2025-05-08 10:35:00
2025-05-08,10:35:05,基金,德国ETF(513030.XSHG),买,市价单,16000股,1.846,29536,16000股,-,0,5,全部成交,2025-05-08 10:35:05
2025-05-13,09:40:00,股票,百洋股份(002696.XSHE),卖,市价单,-1700股,5.52,-9384,-1700股,-,85,9.69,全部成交,2025-05-13 09:40:00
2025-05-13,09:40:20,股票,贝肯能源(002828.XSHE),买,市价单,1400股,8.88,12432,1400股,-,0,5,全部成交,2025-05-13 09:40:20
2025-05-20,10:35:00,基金,德国ETF(513030.XSHG),卖,市价单,-16000股,1.878,-30048,-16000股,-,512,5,全部成交,2025-05-20 10:35:00
2025-05-20,10:35:05,基金,纳指ETF(513100.XSHG),买,市价单,19200股,1.566,30067.2,19200股,-,0,5,全部成交,2025-05-20 10:35:05
2025-05-27,09:40:00,股票,名雕股份(002830.XSHE),卖,市价单,-600股,13.81,-8286,-600股,-,-360,9.14,全部成交,2025-05-27 09:40:00
2025-05-27,10:35:00,基金,纳指ETF(513100.XSHG),卖,市价单,-19200股,1.538,-29529.6,-19200股,-,-537.6,5,全部成交,2025-05-27 10:35:00
2025-05-27,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,30400股,0.972,29548.8,30400股,-,0,5,全部成交,2025-05-27 10:35:05
2025-05-28,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-30400股,0.972,-29548.8,-30400股,-,0,5,全部成交,2025-05-28 10:35:00
2025-05-28,10:35:05,基金,纳指ETF(513100.XSHG),买,市价单,18900股,1.566,29597.4,18900股,-,0,5,全部成交,2025-05-28 10:35:05
